"location","date","year","time_period","diameter","years_past","wasting"
"Moody Inlet",2010-11-15,"2010","past",47,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",50,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",54,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",58,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",57,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",58,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",60,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",53,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",40,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",62,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",48,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",81,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",50,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",58,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",46,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",60,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",53,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",42,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",66,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",47,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",70,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",55,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",59,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",56,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",56,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",50,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",48,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",56,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",56,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",66,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",57,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",64,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",50,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",56,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",58,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",40,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",32,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",52,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",65,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",49,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",54,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",52,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",53,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",45,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",72,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",43,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",37,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",76,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",43,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",36,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",48,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",46,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",83,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",29,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",34.5,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",84,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",74,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",48,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",78,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",66,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",59,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",85,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",56,15,"pre"
"Moody Inlet",2010-11-15,"2010","past",53,15,"pre"
"Jug Island",2011-03-25,"2011","past",22,14,"pre"
"Jug Island",2011-03-25,"2011","past",26.2,14,"pre"
"Jug Island",2011-03-25,"2011","past",23,14,"pre"
"Jug Island",2011-03-25,"2011","past",29,14,"pre"
"Jug Island",2011-03-25,"2011","past",35,14,"pre"
"Jug Island",2011-03-25,"2011","past",31,14,"pre"
"Jug Island",2011-03-25,"2011","past",34.2,14,"pre"
"Jug Island",2011-03-25,"2011","past",20,14,"pre"
"Jug Island",2011-03-25,"2011","past",22,14,"pre"
"Jug Island",2011-03-25,"2011","past",24.2,14,"pre"
"Jug Island",2011-03-25,"2011","past",30.5,14,"pre"
"Jug Island",2011-03-25,"2011","past",32,14,"pre"
"Jug Island",2011-03-25,"2011","past",26.4,14,"pre"
