"location","visibility","substrate_level","method"
"Twin Island",3,"mix","roving"
"Jug Island",2.5,"mix","roving"
"Best Point",6,"soft","roving"
"Lone Rock Point",4,"mix","roving"
"Boulder Island",3.5,"soft","roving"
"Twin Island",6,"hard","roving"
"Boulder Island",2,"mix","roving"
"Jug Island",2.5,"soft","roving"
"Lone Rock Point",4,"mix","roving"
"Bedwell Bay",2,"mix","roving"
"Moody Inlet",1,"soft","roving"
"Grey Rocks Island",3,"hard","roving"
"Belcarra Bay",NA,"soft","roving"
"Best Point",2,"hard","roving"
"Cate's Park",NA,"mix","roving"
"Belcarra Bay",2.5,"soft","roving"
"Moody Inlet",NA,"soft","roving"
"Bedwell Bay",3,"mix","roving"
"Cate's Park",NA,"soft","roving"
"Grey Rocks Island",2,"mix","roving"
"Boulder Island",2.5,"mix","transect"
"Boulder Island",2.5,"soft","transect"
"Boulder Island",2.5,"mix","transect"
"Boulder Island",2.5,"soft","transect"
"Twin Island",4.5,"hard","transect"
"Twin Island",4.5,"mix","transect"
"Twin Island",4.5,"hard","transect"
"Twin Island",4.5,"mix","transect"
"Bedwell Bay",3,"hard","transect"
"Bedwell Bay",3,"hard","transect"
"Bedwell Bay",3,"mix","transect"
"Bedwell Bay",3,"soft","transect"
"Jug Island",3,"mix","transect"
"Jug Island",3,"soft","transect"
"Jug Island",3,"mix","transect"
"Jug Island",3,"soft","transect"
"Best Point",3,"mix","transect"
"Best Point",3,"mix","transect"
"Best Point",3,"mix","transect"
"Best Point",3,"mix","transect"
"Cate's Park",1.5,"mix","transect"
"Cate's Park",1.5,"mix","transect"
"Cate's Park",1.5,"mix","transect"
"Cate's Park",1.5,"soft","transect"
"Lone Rock",2,"hard","transect"
"Lone Rock",2,"mix","transect"
"Lone Rock",2,"mix","transect"
"Lone Rock",2,"mix","transect"
"Moody Inlet",1,"soft","transect"
"Moody Inlet",1,"soft","transect"
"Moody Inlet",1.5,"soft","transect"
"Moody Inlet",1.5,"soft","transect"
"Grey Rock Island",2.5,"hard","transect"
"Grey Rock Island",2.5,"mix","transect"
"Grey Rock Island",2.5,"mix","transect"
"Grey Rock Island",2.5,"mix","transect"
"Belcarra Bay",1.5,"mix","transect"
"Belcarra Bay",1.5,"soft","transect"
"Belcarra Bay",1.5,"soft","transect"
"Belcarra Bay",1.5,"soft","transect"
