dive_id,location,seastar,time_found,substrate,diameter,depth,feeding,feeding_type,SSWD,notes,
TI_J6_R1,Twin Island,1,14:25,S,21.6,4.0,N,,,very rounded,
TI_J6_R1,Twin Island,2,14:25,S,20.8,4.0,N,,,,
TI_J6_R1,Twin Island,3,14:26,S,18.4,4.1,Y,,,,
TI_J6_R1,Twin Island,4,14:26,S,19.2,4.3,N,,,"missing arm, regrowing",
TI_J6_R1,Twin Island,5,14:30,S,24.5,4.5,Y,,,,
TI_J6_R1,Twin Island,6,14:31,S,18.0,4.8,N,,,,
TI_J6_R1,Twin Island,7,14:31,S,20.0,4.8,N,,,rounded body,
TI_J6_R1,Twin Island,8,14:33,S,19.0,5.7,N,,,rounded body,
TI_J6_R1,Twin Island,9,14:34,S,16.2,5.7,N,,,one arm regrowing ,
TI_J6_R1,Twin Island,10,14:36,H,30.5,7.0,N,,,,
TI_J6_R1,Twin Island,11,14:38,H,25.4,7.6,N,,,,
TI_J6_R1,Twin Island,12,14:39,H,27.6,7.6,N,,,,
TI_J6_R1,Twin Island,13,14:40,H,26.4,8.5,N,,,,
TI_J6_R1,Twin Island,14,14:40,H,23.2,8.6,N,,,,
TI_J6_R1,Twin Island,15,14:42,S,26.7,8.6,N,,,,
TI_J6_R1,Twin Island,16,14:44,S,17.0,10.1,Y,FP,,food:snail?,
TI_J6_R1,Twin Island,17,14:45,H,21.6,10.2,N,,,,
TI_J6_R1,Twin Island,18,14:51,H,16.4,10.0,N,,,,
TI_J6_R1,Twin Island,19,14:51,H,15.0,10.1,N,,,,
TI_J6_R1,Twin Island,20,14:53,S,29.7,10.2,N,,,,
TI_J6_R1,Twin Island,21,14:53,S,20.2,10.3,N,,,,
TI_J6_R1,Twin Island,22,14:56,S,17.4,7.5,N,,,rounded body,
TI_J6_R1,Twin Island,23,14:57,S,21.0,8.6,N,,,,
TI_J6_R1,Twin Island,24,14:58,H,24.2,7.3,N,,,,
JI_J6_R1,Jug Island,1,15:56,S,32.6,8.8,N,,,,
JI_J6_R1,Jug Island,2,15:58,S,31.7,8.6,Y,,,,
JI_J6_R1,Jug Island,3,15:59,S,42.8,7.7,N,,,,
JI_J6_R1,Jug Island,4,16:01,S,26.8,7.7,N,,,,
JI_J6_R1,Jug Island,5,16:02,S,32.5,8.1,N,,,,
JI_J6_R1,Jug Island,6,16:04,S,27.5,7.8,Y,,,,
JI_J6_R1,Jug Island,7,16:05,S,23.4,6.6,N,,,,
JI_J6_R1,Jug Island,8,16:07,S,31.7,6.9,Y,,,,
JI_J6_R1,Jug Island,9,16:07,S,35.9,6.9,N,,,,
JI_J6_R1,Jug Island,10,16:08,S,35.1,5.7,N,,,,
JI_J6_R1,Jug Island,11,16:09,S,28.4,5.7,Y,,,,
JI_J6_R1,Jug Island,12,16:12,S,20.0,5.6,N,,,,
JI_J6_R1,Jug Island,13,16:12,H,35.1,5.0,N,,,,
JI_J6_R1,Jug Island,14,16:14,S,27.0,5.8,N,,,,
JI_J6_R1,Jug Island,15,16:14,S,22.0,5.9,N,,,,
JI_J6_R1,Jug Island,16,16:20,H,35.7,9.8,Y,,,,
JI_J6_R1,Jug Island,17,16:21,H,26.5,9.3,N,,,,
JI_J6_R1,Jug Island,18,16:23,H,25.5,9.0,N,,,,
JI_J6_R1,Jug Island,19,16:23,H,30.7,9.1,N,,,,
BP_J27_R1,Best Point,1,10:09,H,29.0,5.0,N,,,,
BP_J27_R1,Best Point,2,10:11,H,27.0,5.4,N,,,,
BP_J27_R1,Best Point,3,10:12,H,19.0,5.9,N,,,,
BP_J27_R1,Best Point,4,10:12,H,38.0,5.9,N,,,,
BP_J27_R1,Best Point,5,10:14,H,24.0,6.4,N,,,,
BP_J27_R1,Best Point,6,10:14,S,20.0,6.4,N,,,,
BP_J27_R1,Best Point,7,10:16,S,35.5,6.5,Y,,,,
BP_J27_R1,Best Point,8,10:16,H,58.0,6.9,N,,,,
BP_J27_R1,Best Point,9,10:21,H,27.5,8.1,N,,,,
BP_J27_R1,Best Point,10,10:21,H,12.5,7.8,N,,,,
BP_J27_R1,Best Point,11,10:23,H,24.0,8.6,N,,,,
BP_J27_R1,Best Point,12,10:24,H,23.0,8.5,N,,,,
BP_J27_R1,Best Point,13,10:26,S/H,22.0,9.4,N,,,,
BP_J27_R1,Best Point,14,10:26,H,24.0,9.3,N,,,,
BP_J27_R1,Best Point,15,10:26,S,24.0,9.2,N,,,,
BP_J27_R1,Best Point,16,10:29,H,26.5,9.9,N,,,,
BP_J27_R1,Best Point,17,10:29,H,23.0,10.6,N,,,,
BP_J27_R1,Best Point,18,10:30,H,26.0,10.5,N,,,,
BP_J27_R1,Best Point,19,10:30,S,24.0,10.6,N,,,,
BP_J27_R1,Best Point,20,10:31,S,22.0,10.0,N,,,,
BP_J27_R1,Best Point,21,10:31,H,38.0,9.9,N,,,,
BP_J27_R1,Best Point,22,10:34,H,33.0,9.0,N,,,,
BP_J27_R1,Best Point,23,10:35,H,33.0,8.9,N,,,,
BP_J27_R1,Best Point,24,10:36,H,23.0,8.8,N,,,,
BP_J27_R1,Best Point,25,10:37,H,26.5,9.0,N,,,,
LR_J27_R1,Lone Rock Point,1,11:38,S,11.0,6.5,N,,,,
LR_J27_R1,Lone Rock Point,2,11:38,S,22.0,6.5,Y,TF,,TUBEFEET,
LR_J27_R1,Lone Rock Point,3,11:38,S,21.5,6.5,N,,,,
LR_J27_R1,Lone Rock Point,4,11:38,S,20.0,6.5,N,,,,
LR_J27_R1,Lone Rock Point,5,11:38,H,19.5,6.5,N,,,,
LR_J27_R1,Lone Rock Point,6,11:38,H,23.0,6.5,N,,,,
LR_J27_R1,Lone Rock Point,7,11:38,S,21.5,6.8,N,,,,
LR_J27_R1,Lone Rock Point,8,11:38,S,34.0,6.8,N,,,,
LR_J27_R1,Lone Rock Point,9,11:38,H,18.0,6.4,N,,,,
LR_J27_R1,Lone Rock Point,10,11:38,H,14.5,6.4,N,,,,
LR_J27_R1,Lone Rock Point,11,11:38,H,23.5,6.2,N,,,,
