month,day,year,dive_id,location,diver_1,diver_2,transect,visibility,average_depth,substrate,substrate_level,start_time,end_time,notes
Jan,6,2025,BI_J6_T1_BD,Boulder Island,Nicole,Claire,T1_Blk_D,2.5,7.5,sand/rock/boulder,mix,11:00,11:20,there was a seal swimming around
Jan,6,2025,BI_J6_T2_BD,Boulder Island,Nicole,Claire ,T2_Blk_D,2.5,8,sand ,soft,11:22,11:35,"there was a noticeable pick up in current, and I saw a big nudibranch "
Jan,6,2025,BI_J6_T1_BU,Boulder Island,Claire,Nicole,T1_Blk_U,2.5,7,sand/boulder,mix,11:56,12:17,
Jan,6,2025,BI_J6_T2_BU,Boulder Island,Claire,Nicole,T2_Blk_U,2.5,7,sand,soft,12:18,12:33,
Jan,20,2025,TI_J20_T1_BD,Twin Island,Em,Nicole,T1_Blk_D,4.5,9,bedrock,hard,N/A,N/A,"cliff, drop off,  no time because low air"
Jan,20,2025,TI_J20_T2_BD,Twin Island,Em,Nicole,T2_Blk_D,4.5,7.5,silt/sand/bedrock,mix,N/A,N/A,"silt, sand, mixed "
Jan,20,2025,TI_J20_T1_BU,Twin Island,Nicole,Em,T1_Blk_U,4.5,9,bedrock,hard,12:40,12:54,"cliff, drop off,"
Jan,20,2025,TI_J20_T2_BU,Twin Island,Nicole,Em,T2_Blk_U,4.5,7.2,silt/sand/bedrock,mix,12:55,13:05,"silt, sand, mixed "
Jan,27,2025,BB_J27_T1_BU,Bedwell Bay,Nicole,Claire,T1_Blk_U,3,8,wall/boulder,hard,13:28,13:40,wall and boulders 
Jan,27,2025,BB_J27_T2_BU,Bedwell Bay,Nicole,Claire,T2_Blk_U,3,8,boulders/sand/wall,hard,13:41,13:51,
Jan,27,2025,BB_J27_T1_BD,Bedwell Bay,Claire,Nicole,T1_Blk_D,3,8,sand w/ boulders,mix,13:24,13:34,
Jan,27,2025,BB_J27_T2_BD,Bedwell Bay,Claire,Nicole,T2_Blk_D,3,8.3,sandy few boulders,soft,13:38,13:48,
Feb,5,2025,JI_F5_T1_BU,Jug Island,Nicole,Hannah,T1_Blk_U,3,5.2,"cobble, shell, rock",mix,14:15,14:33,
Feb,5,2025,JI_F5_T2_BU,Jug Island,Nicole,Hannah,T2_Blk_U,3,6.4,sandy,soft,14:34,14:42,few rocks
Feb,5,2025,JI_F5_T1_BD,Jug Island,Hannah,Nicole,T1_Blk_D,3,5.1,"cobble, shell, rock",mix,14:14,14:31,
