dive_id,location,seastar,time_found,substrate,diameter,depth_found,feeding,feeding_type,SSWD,notes,
BI_J6_T1_BD,Boulder_Island,1,11:01,S,10.0,6.9,N,,,,
BI_J6_T1_BD,Boulder_Island,2,11:04,S,8.0,7.2,Y,,,,
BI_J6_T1_BD,Boulder_Island,3,11:06,S,8.0,7.4,N,,,,
BI_J6_T1_BD,Boulder_Island,4,11:07,S,11.0,7.7,N,,,1 arm very short,
BI_J6_T1_BD,Boulder_Island,5,11:12,S,12.0,8.2,N,,,,
BI_J6_T1_BD,Boulder_Island,6,11:15,S,26.0,7.8,N,,,,
BI_J6_T1_BD,Boulder_Island,7,11:16,S,13.0,7.3,Y,,,,
BI_J6_T1_BD,Boulder_Island,8,11:16,S,11.0,7.3,Y,,,,
BI_J6_T1_BD,Boulder_Island,9,11:18,S,12.0,7.5,N,,,scaleworm? ,
BI_J6_T1_BD,Boulder_Island,10,11:19,S/H,32.0,7.5,N/A,,,,
BI_J6_T2_BD,Boulder Island,1,11:23,S,10.0,8.0,Y,,,,
BI_J6_T2_BD,Boulder Island,2,11:23,S,14.5,7.9,Y,SO,,stomach out,
BI_J6_T2_BD,Boulder Island,3,11:23,S,10.5,7.8,N,,,,
BI_J6_T2_BD,Boulder Island,4,11:23,S,24.0,7.7,N,,,,
BI_J6_T2_BD,Boulder Island,5,11:27,S,10.0,7.9,Y,,,,
BI_J6_T2_BD,Boulder Island,6,11:28,S,13.0,8.1,N,,,,
BI_J6_T2_BD,Boulder Island,7,11:29,S,13.0,8.0,Y,,,,
BI_J6_T2_BD,Boulder Island,8,11:30,S,15.5,7.9,Y,,,,
BI_J6_T2_BD,Boulder Island,9,11:33,S,14.0,7.9,N,,,,
BI_J6_T2_BD,Boulder Island,10,11:33,S,16.0,7.9,Y,,,,
BI_J6_T1_BU,Boulder Island,1,11:58,H,9.2,6.6,N,,,,
BI_J6_T1_BU,Boulder Island,2,12:00,S,11.5,7.0,Y,,,,
BI_J6_T1_BU,Boulder Island,3,12:04,S,9.5,7.1,Y,,,,
BI_J6_T1_BU,Boulder Island,4,12:07,S,11.2,7.2,N,,,,
BI_J6_T1_BU,Boulder Island,5,12:08,S,7.8,7.2,N,,,,
BI_J6_T1_BU,Boulder Island,6,12:09,S,9.8,7.5,N,,,,
BI_J6_T1_BU,Boulder Island,7,12:11,H,30.2,7.0,N,,,under boulder,
BI_J6_T1_BU,Boulder Island,8,12:11,H,10.4,7.0,N,,,under boulder,
BI_J6_T1_BU,Boulder Island,9,12:13,S,26.6,6.5,N,,,,
BI_J6_T1_BU,Boulder Island,10,12:15,S,14.0,6.8,N,,,,
BI_J6_T2_BU,Boulder Island,1,12:19,S,11.0,7.5,N,,,,
BI_J6_T2_BU,Boulder Island,2,12:19,S,14.4,7.5,Y,,,regrowing arm,
BI_J6_T2_BU,Boulder Island,3,12:21,S,26.4,7.4,Y,,,,
BI_J6_T2_BU,Boulder Island,4,12:23,S,17.5,7.2,Y,FP,,food ID: snail,
BI_J6_T2_BU,Boulder Island,5,12:23,S,13.1,7.1,Y,,,,
BI_J6_T2_BU,Boulder Island,6,12:25,S,12.0,7.0,N,,,,
BI_J6_T2_BU,Boulder Island,7,12:26,S,22.5,6.9,Y,FP,,food: snail ,
BI_J6_T2_BU,Boulder Island,8,12:28,S,14.4,6.9,N,,,,
BI_J6_T2_BU,Boulder Island,9,12:28,S,11.3,6.9,N,,,,
BI_J6_T2_BU,Boulder Island,10,12:30,S,10.1,7.0,N,,,,
TI_J20_T1_BD,Twin Island,1,12:39,H,11.5,8.6,N,,,,
TI_J20_T1_BD,Twin Island,2,12:40,H,19.0,9.0,N,,,,
TI_J20_T1_BD,Twin Island,3,12:41,H,20.0,9.0,N,,,,
TI_J20_T1_BD,Twin Island,4,12:41,H,21.0,9.7,N,,,,
TI_J20_T1_BD,Twin Island,5,12:42,H,10.0,9.7,N,,,,
TI_J20_T1_BD,Twin Island,6,12:43,H,25.5,9.0,N,,,,
TI_J20_T1_BD,Twin Island,7,12:43,H,11.0,9.0,N,,,,
TI_J20_T1_BD,Twin Island,8,12:44,H,32.0,8.5,N,,,,
TI_J20_T1_BD,Twin Island,9,12:44,H,20.5,8.5,N,,,,
TI_J20_T1_BD,Twin Island,10,12:45,H,14.0,9.2,N,,,,
TI_J20_T2_BD,Twin Island,1,N/A,H,9.0,6.0,N,,,no times due to low air ,
TI_J20_T2_BD,Twin Island,2,N/A,H,22.0,7.0,N,,,,
TI_J20_T2_BD,Twin Island,3,N/A,S,22.0,7.0,N,,,,
TI_J20_T2_BD,Twin Island,4,N/A,S,18.0,8.3,N,,,,
TI_J20_T2_BD,Twin Island,5,N/A,H,24.0,8.1,N,,,,
TI_J20_T2_BD,Twin Island,6,N/A,S,21.0,8.6,Y,,,,
TI_J20_T2_BD,Twin Island,7,N/A,H,15.0,5.9,N,,,,
TI_J20_T2_BD,Twin Island,8,N/A,H,13.5,5.9,N,,,,
TI_J20_T2_BD,Twin Island,9,N/A,H,21.5,7.5,N,,,,
